Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
body,-0.000776336245526546,-0.0994792446270345,0.00434529494192139,0,0,0,0.0594129439403149,4.10350614646922E-05,-1.00811014052065E-06,-1.88563093285872E-22,1.22444944615428E-05,2.52022587432619E-21,3.30257173458162E-05,0,0,0,0,0,0,package://rlbot_urdf/meshes/body.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/body.STL,,mainbody1-2,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
heap_left,-0.000411505722172199,2.8557399431306E-09,-0.00865063394349094,0,0,0,0.00641562289097095,6.40403705232279E-07,6.33785112740125E-16,3.3480580581693E-12,5.39585585576184E-07,-3.31477551401615E-14,2.80842564475839E-07,0,0,0,0,0,0,package://rlbot_urdf/meshes/heap_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/heap_left.STL,,Legleft_link1-3,Origin_LL1,Axis1 <Legleft_link1-3>,x_heap_left,revolute,0,-0.0615245547254961,0.0173452949419214,1.5707963267949,0,0,body,1,0,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
thigh_left,0.00573576436351047,-3.46944695195361E-18,-0.00819152044288994,0,0,0,0.0055707963267949,4.46081048793808E-07,2.72436662312673E-24,1.52111004251165E-07,4.10047920097761E-07,-1.26696608363311E-24,3.35353293090279E-07,0,0,0,0,0,0,package://rlbot_urdf/meshes/thigh_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/thigh_left.STL,,Legleft_link2-1,Origin_LL2,Axis1 <Legleft_link2-1>,y_heap_left,revolute,-0.000411442702803559,0,-0.02,0,0,0,heap_left,0,1,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
calf_left,-0.00684040286651337,-3.46944695195361E-18,-0.0187938524157182,0,0,0,0.00957079632679489,1.95108843054461E-06,2.57949540773636E-23,-5.66183995396682E-07,1.91462015146956E-06,-2.79532002518431E-23,6.01584809377936E-07,0,0,0,0,0,0,package://rlbot_urdf/meshes/calf_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/calf_left.STL,,Legleft_link3-1,Origin_LL3,Axis1 <Legleft_link3-1>,y_knee_left,revolute,0.0114715287270209,0,-0.0163830408857799,0,0,0,thigh_left,0,1,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
ankle_left,1.92864740509655E-07,-4.00732348346255E-09,-0.00797861362318884,0,0,0,0.00523290759017616,4.10620399521421E-07,-4.22283939288613E-12,-1.23937856088848E-11,4.86191504605819E-07,3.60089597672155E-13,2.17218632314309E-07,0,0,0,0,0,0,package://rlbot_urdf/meshes/ankle_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/ankle_left.STL,,Legleft_link4-4,Origin_LL4,Axis1 <Legleft_link4-4>,y_ankle_left,revolute,-0.0136808057330267,0,-0.0375877048314363,0,0,0,calf_left,0,1,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
foot_left,0,0.00347894965825279,-0.00295481106111833,0,0,0,0.00620877049737134,4.38162388570232E-07,2.80718675350762E-25,1.69795173904356E-25,1.66535450764884E-06,1.17760810798441E-08,2.06672591407948E-06,0,0,0,0,0,0,package://rlbot_urdf/meshes/foot_left.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/foot_left.STL,,Legleft_link5-4,Origin_LL5,Axis1 <Legleft_link5-4>,x_foot_left,revolute,0,0,-0.02,0,0,0,ankle_left,1,0,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
heap_right,-0.000411505725811945,2.85574233531427E-09,-0.00865063393651721,0,0,0,0.00641562289440222,6.40403705648257E-07,6.33816152503917E-16,3.34815609251461E-12,5.39585585992358E-07,-3.31390027224661E-14,2.80842564038951E-07,0,0,0,0,0,0,package://rlbot_urdf/meshes/heap_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/heap_right.STL,,Legleft_link1-4,Origin_LR1,Axis1 <Legleft_link1-4>,x_heap_right,revolute,0,-0.0615245547254959,-0.00865470505807863,1.57107948054706,0,0,body,1,0,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
thigh_right,0.00573576436803753,-1.13328102128302E-08,-0.0081915204397122,0,0,0,0.00557079632679491,4.46081048625134E-07,-6.84426747647289E-14,1.52111004312217E-07,4.10047920097891E-07,-2.98616168863724E-13,3.35353293258825E-07,0,0,0,0,0,0,package://rlbot_urdf/meshes/thigh_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/thigh_right.STL,,Legleft_link2-2,Origin_LR2,Axis1 <Legleft_link2-2>,y_thigh_right,revolute,-0.000411442702803607,0,-0.0200000000000006,0,-0.00690975570248467,0,heap_right,0,0.999999999998086,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
calf_right,-0.00684040287104044,-5.87042904912072E-09,-0.0187938524140695,0,0,0,0.00957079632679489,1.95108843027167E-06,2.95920156047589E-14,-5.66183995721723E-07,1.91462015146958E-06,-4.85278129627917E-13,6.01584809650852E-07,0,0,0,0,0,0,package://rlbot_urdf/meshes/calf_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/calf_right.STL,,Legleft_link3-2,Origin_LR3,Axis1 <Legleft_link3-2>,y_knee_right,revolute,0.011471528736075,0,-0.0163830408794246,0,0.00991579292267587,0,thigh_right,0,0.999999999999638,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
ankle_right,1.92837492619946E-07,-4.02335108284912E-09,-0.00797861365324166,0,0,0,0.00523290757273802,4.10620398380925E-07,-4.22180887851016E-12,-1.2392522253023E-11,4.8619150328856E-07,3.60956824099644E-13,2.1721863237797E-07,0,0,0,0,0,0,package://rlbot_urdf/meshes/ankle_right.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://rlbot_urdf/meshes/ankle_right.STL,,Legleft_link4-3,Origin_LR4,Axis1 <Legleft_link4-3>,y_ankle_right,revolute,-0.0136808057420809,0,-0.0375877048281388,0,-0.00300603722021734,0,calf_right,0,1,0,0,0.8,-1.57,1.57,,,,,1.2,-1.2,,0
